,X,id,studentID,groupID,timeUsed,TimeUsedSec,gender
120,425,4984,56565,MATH22015,35046,35.046,0
121,426,4981,1337,MATH22015,26102,26.102,1
122,427,4979,23,MATH22015,25110,25.11,1
123,428,4980,129834,MATH22015,24998,24.998,1
124,429,4973,6231994,MATH22015,25422,25.422,1
125,430,4974,98,MATH22015,26918,26.918,1
126,431,4975,BlueSmurf,MATH22015,22935,22.935,0
127,432,4976,786543,MATH22015,22813,22.813,0
128,433,4977,10320,MATH22015,26678,26.678,1
129,434,4978,9027,MATH22015,23576,23.576,1
130,435,4969,1010110,MATH22015,23950,23.95,1
131,436,4970,542574,MATH22015,24960,24.96,0
132,437,4971,23761,MATH22015,25274,25.274,0
133,438,4972,2039,MATH22015,23548,23.548,1
134,439,4966,800857734,MATH22015,21002,21.002,1
135,440,4967,5168,MATH22015,23800,23.8,0
136,441,4968,123456789,MATH22015,23550,23.55,0
137,442,4964,54689,MATH22015,23617,23.617,0
138,443,4965,3546464,MATH22015,23286,23.286,1
139,444,4963,654,MATH22015,20710,20.71,1
140,372,5081,NA,MATH22018,22351,22.351,0
141,373,5080,NA,MATH22018,23997,23.997,0
142,374,5079,NA,MATH22018,22247,22.247,0
143,375,5078,NA,MATH22018,26793,26.793,0
144,376,5074,NA,MATH22018,28721,28.721,0
145,377,5068,NA,MATH22018,32442,32.442,0
146,378,5067,NA,MATH22018,26799,26.799,1
147,379,5066,12345,MATH22018,28871,28.871,0
148,380,5065,NA,MATH22018,41397,41.397,0
149,381,5064,NA,MATH22018,29711,29.711,1
150,382,5063,NA,MATH22018,23668,23.668,1
151,383,5062,NA,MATH22018,32369,32.369,0
152,384,5061,NA,MATH22018,29569,29.569,0
153,385,5058,NA,MATH22018,28969,28.969,1
154,386,5059,NA,MATH22018,25154,25.154,0
155,387,5060,NA,MATH22018,26663,26.663,0
156,388,5056,NA,MATH22018,27157,27.157,0
157,389,5057,NA,MATH22018,31325,31.325,1
158,390,5055,NA,MATH22018,31512,31.512,0
159,391,5052,NA,MATH22018,26927,26.927,0
160,392,5053,NA,MATH22018,24377,24.377,1
161,393,5054,NA,MATH22018,31517,31.517,0
162,394,5046,NA,MATH22018,28254,28.254,0
163,395,5047,NA,MATH22018,27290,27.29,0
164,396,5048,NA,MATH22018,24113,24.113,0
165,397,5049,NA,MATH22018,26570,26.57,0
166,398,5050,NA,MATH22018,28081,28.081,0
167,399,5051,NA,MATH22018,30721,30.721,0
168,400,5043,NA,MATH22018,24859,24.859,0
169,401,5044,NA,MATH22018,30097,30.097,0
170,402,5045,NA,MATH22018,28105,28.105,0
171,403,5042,123456789,MATH22018,27140,27.14,0
172,404,5040,NA,MATH22018,27346,27.346,0
173,405,5041,NA,MATH22018,25206,25.206,0
174,406,5038,NA,MATH22018,24297,24.297,0
175,407,5039,NA,MATH22018,23671,23.671,1
176,544,2020,MG,mth22602,53765,53.765,1
177,545,2018,MG,mth22602,65589,65.589,1
178,546,2017,SGTBrighton,mth22602,74760,74.76,1
179,547,2016,Me01,mth22602,72605,72.605,1
180,548,2015,Keags,mth22602,56770,56.77,0
181,549,2014,"274469SwaggyMcDangles",mth22602,58194,58.194,1
182,550,2013,MFrench,mth22602,49308,49.308,0
183,551,2012,Yellow5,mth22602,64307,64.307,0
184,552,2011,Harry,mth22602,42205,42.205,0
185,553,2009,pippylongstocking,mth22602,47776,47.776,1
186,554,2010,Riley,mth22602,50060,50.06,1
187,555,2008,DeputyDePuy,mth22602,47142,47.142,1
188,557,2007,LGodlewski,mth22602,43649,43.649,0
189,559,2004,JRand,mth22602,53131,53.131,1
190,560,2003,Harry,mth22602,56603,56.603,0
191,561,2001,SGTBrighton,mth22602,81409,81.409,1
192,562,2002,Keags,mth22602,77270,77.27,0
193,563,2000,Me01,mth22602,76728,76.728,1
194,564,1999,MG,mth22602,62900,62.9,1
195,565,1998,Yellow5,mth22602,69601,69.601,0
196,567,1997,Riley,mth22602,65270,65.27,1
197,568,1995,DeputyDePuy,mth22602,64551,64.551,1
198,569,1994,JRand,mth22602,63651,63.651,1
199,570,1993,pippylongstocking,mth22602,53665,53.665,1
200,571,1992,"274469SwaggyMcDangles",mth22602,57849,57.849,1
201,573,1990,LGodlewski,mth22602,43862,43.862,0
202,574,1989,MFrench,mth22602,42462,42.462,0
203,887,591,Kenmark,stats2,46609,46.609,0
204,889,586,Kenmark,stats2,41978,41.978,1
205,890,585,Kenmark,stats2,44736,44.736,1
206,891,584,Kenmark,stats2,46528,46.528,1
207,892,583,Kenmark,stats2,50648,50.648,1
208,893,582,Kenmark,stats2,41238,41.238,1
209,894,581,Kenmark,stats2,52246,52.246,1
210,895,580,Kenmark,stats2,64350,64.35,1
211,896,579,Kenmark,stats2,60978,60.978,0
212,897,578,Kenmark,stats2,73477,73.477,0
213,898,577,Kenmark,stats2,58050,58.05,1
214,899,576,Kenmark,stats2,44608,44.608,1
215,900,575,Kenmark,stats2,54391,54.391,0
216,901,574,Kenmark,stats2,36853,36.853,1
217,902,572,Kenmark,stats2,40929,40.929,0
218,903,571,Kenmark,stats2,49581,49.581,1
219,904,570,Kenmark,stats2,54891,54.891,1
220,905,569,Kenmark,stats2,46544,46.544,0
221,906,568,Kenmark,stats2,72127,72.127,1
222,907,567,Kenmark,stats2,43789,43.789,0
223,908,566,Kenmark,stats2,53190,53.19,0
224,909,565,Kenmark,stats2,58506,58.506,0
225,910,564,Kenmark,stats2,65673,65.673,1
226,911,563,Kenmark,stats2,44937,44.937,0
227,912,562,Kenmark,stats2,46126,46.126,0
228,913,561,Kenmark,stats2,52708,52.708,0
229,914,560,Kenmark,stats2,43790,43.79,1
230,915,559,Kenmark,stats2,56430,56.43,1
231,916,558,Kenmark,stats2,45070,45.07,0
232,917,557,Kenmark,stats2,54070,54.07,0
233,918,556,Kenmark,stats2,46220,46.22,0
234,919,555,Kenmark,stats2,51690,51.69,0
235,920,554,Kenmark,stats2,60410,60.41,1
236,921,553,Kenmark,stats2,60834,60.834,0
237,922,552,Kenmark,stats2,43940,43.94,0
238,923,551,Kenmark,stats2,52989,52.989,1
239,924,550,Kenmark,stats2,62615,62.615,0
240,925,549,Kenmark,stats2,50930,50.93,0
241,926,548,Kenmark,stats2,59823,59.823,0
242,927,547,Kenmark,stats2,51193,51.193,0
243,928,546,Kenmark,stats2,46703,46.703,1
244,929,545,Kenmark,stats2,69913,69.913,1
245,931,543,Kenmark,stats2,57351,57.351,0
246,932,542,Kenmark,stats2,71681,71.681,1
247,829,868,jordan,mth32601,76850,76.85,1
248,830,867,bmill678,mth32601,63295,63.295,0
249,832,865,zachzaniboni,mth32601,57219,57.219,1
