"","id","studentID","groupID","v1label","v1value","v2label","v2value","v3label","v3value","numShapes","matchingScheme","requestedTime","timeUsed","timerDisplay","numErrors","shapesMatched","proximityValue","timestamp","TimeUsedSec","gender"
"167",13845,"378108","MAT336S15","Gender","F","","","","","24","diffColor","0",43972,"1",0,24,54,"2015-04-29 15:29:22",43.972,"0"
"168",13844,"KUMNSTAY
dajiba","MAT336S15","Gender","M","","","","","24","optionColor","0",47893,"1",14,24,54,"2015-04-29 15:28:57",47.893,"1"
"169",13842,"111","MAT336S15","Gender","F","","","","","24","both","0",29815,"1",0,24,54,"2015-04-29 15:28:34",29.815,"0"
"170",13843,"378108","MAT336S15","Gender","F","","","","","24","shape","0",34972,"1",0,24,54,"2015-04-29 15:28:34",34.972,"0"
"171",13841,"gandu","MAT336S15","Gender","M","","","","","24","shape","0",46198,"1",2,24,54,"2015-04-29 15:28:07",46.198,"1"
"172",13840,"KUMNSTAY
dajiba","MAT336S15","Gender","M","","","","","24","both","0",51659,"1",14,24,54,"2015-04-29 15:28:03",51.659,"1"
"173",13839,"111","MAT336S15","Gender","F","","","","","24","shape","0",43735,"1",2,24,54,"2015-04-29 15:27:50",43.735,"0"
"174",13838,"378108","MAT336S15","Gender","F","","","","","24","both","0",31798,"1",0,24,54,"2015-04-29 15:27:36",31.798,"0"
"175",13837,"IAMGANDALF","MAT336S15","Gender","M","","","","","24","both","0",38429,"1",1,24,54,"2015-04-29 15:27:23",38.429,"1"
"176",13836,"gandu","MAT336S15","Gender","M","","","","","24","optionColor","0",36931,"1",0,24,54,"2015-04-29 15:27:14",36.931,"1"
"177",13835,"KUMNSTAY
dajiba","MAT336S15","Gender","M","","","","","24","diffColor","0",68961,"1",5,24,54,"2015-04-29 15:27:04",68.961,"1"
"178",13834,"q","MAT336S15","Gender","F","","","","","24","diffColor","0",54847,"1",1,24,54,"2015-04-29 15:26:56",54.847,"0"
"179",13833,"378108","MAT336S15","Gender","F","","","","","24","optionColor","0",36044,"1",2,24,54,"2015-04-29 15:26:48",36.044,"0"
"180",13832,"111","MAT336S15","Gender","F","","","","","24","optionColor","0",33956,"1",0,24,54,"2015-04-29 15:26:47",33.956,"0"
"181",13831,"TomBrady","MAT336S15","Gender","Male","","","","","24","shape","0",35785,"1",0,24,54,"2015-04-29 15:26:45",35.785,"1"
"182",13830,"IAMGANDALF","MAT336S15","Gender","M","","","","","24","shape","0",36021,"1",0,24,54,"2015-04-29 15:26:39",36.021,"1"
"183",13829,"gandu","MAT336S15","Gender","M","","","","","24","diffColor","0",49997,"1",3,24,54,"2015-04-29 15:26:31",49.997,"1"
"184",13828,"311252","MAT336S15","Gender","M","","","","","24","optionColor","0",38679,"1",1,24,54,"2015-04-29 15:26:08",38.679,"1"
"185",13827,"TomBrady","MAT336S15","Gender","Male","","","","","24","shape","0",37938,"1",0,24,54,"2015-04-29 15:26:06",37.938,"1"
"186",13826,"q","MAT336S15","Gender","F","","","","","24","both","0",37061,"1",0,24,54,"2015-04-29 15:25:55",37.061,"0"
"187",13825,"111","MAT336S15","Gender","F","","","","","24","diffColor","0",58482,"1",3,24,54,"2015-04-29 15:25:53",58.482,"0"
"188",13824,"IAMGANDALF","MAT336S15","Gender","M","","","","","24","optionColor","0",35837,"1",0,24,54,"2015-04-29 15:25:52",35.837,"1"
"189",13823,"KUMNSTAY
dajiba","MAT336S15","Gender","M","","","","","24","shape","0",53942,"1",1,24,54,"2015-04-29 15:25:41",53.942,"1"
"190",13822,"gandu","MAT336S15","Gender","M","","","","","24","both","0",39138,"1",0,24,54,"2015-04-29 15:25:26",39.138,"1"
"191",13821,"TomBrady","MAT336S15","Gender","Male","","","","","24","shape","0",37790,"1",1,24,54,"2015-04-29 15:25:23",37.79,"1"
"192",13820,"311252","MAT336S15","Gender","M","","","","","24","both","0",35052,"1",0,24,54,"2015-04-29 15:25:11",35.052,"1"
"193",13819,"q","MAT336S15","Gender","F","","","","","24","optionColor","0",38296,"1",1,24,54,"2015-04-29 15:25:00",38.296,"0"
"194",13818,"IAMGANDALF","MAT336S15","Gender","M","","","","","24","diffColor","0",44247,"1",1,24,54,"2015-04-29 15:24:51",44.247,"1"
"195",13817,"TomBrady","MAT336S15","Gender","Male","","","","","24","shape","0",39934,"1",1,24,54,"2015-04-29 15:24:28",39.934,"1"
"196",13816,"311252","MAT336S15","Gender","M","","","","","24","diffColor","0",45196,"1",0,24,54,"2015-04-29 15:24:22",45.196,"1"
"197",13815,"flowers","MAT336S15","Gender","F","","","","","24","optionColor","0",29206,"1",2,24,54,"2015-04-29 15:24:09",29.206,"0"
"198",13814,"q","MAT336S15","Gender","F","","","","","24","shape","0",50477,"1",1,24,54,"2015-04-29 15:24:03",50.477,"0"
"199",13813,"flowers","MAT336S15","Gender","F","","","","","24","both","0",38642,"1",1,24,54,"2015-04-29 15:23:35",38.642,"0"
"200",13812,"311252","MAT336S15","Gender","M","","","","","24","shape","0",39363,"1",0,24,54,"2015-04-29 15:23:24",39.363,"1"
"201",13811,"flowers","MAT336S15","Gender","F","","","","","24","diffColor","0",34972,"1",0,24,54,"2015-04-29 15:22:51",34.972,"0"
"202",13810,"flowers","MAT336S15","Gender","F","","","","","24","shape","0",34919,"1",2,24,54,"2015-04-29 15:22:03",34.919,"0"
